MSA,credit_score
24540,743.2300966405891
24580,755.4940898345154
24660,750.8183288409704
24780,781.9717314487633
24860,756.1771780580815
25060,756.7036485480268
25180,745.1122320302649
25220,771.4146341463414
25260,733.7362355953906
25420,758.0903614457832
25500,762.9750328515112
25540,752.4971289368366
25620,744.973544973545
25860,770.574297188755
25940,724.6617647058823
25980,710.1308411214953
26140,733.8964646464647
26300,764.6973684210526
26380,752.0747252747253
26420,750.9084602624039
26580,760.112798264642
26620,765.3903767589651
26820,747.525256849315
26900,748.8988705473502
26980,765.9647201946472
27060,764.0228571428571
27100,732.4419306184012
27140,753.0462264150943
27180,763.3321100917432
27260,738.4545639357593
27340,716.2465753424658
27500,738.7354948805461
27620,754.4701986754967
27740,754.976692563818
27780,755.4569789674953
27860,765.4637482900137
27900,756.2923336141533
27980,753.2553191489362
28020,745.3458356315499
28100,729.7444444444444
28140,754.0045469668404
28420,752.0615677562679
28660,742.1519777931992
28700,747.1634920634921
28740,748.2223926380368
28940,759.4826446280991
29020,760.7389162561576
29100,751.9086176980913
29180,756.1724313326552
29200,777.8638045891931
29340,755.418439716312
29420,756.53470437018
29460,727.2628120893561
29540,755.5657220894503
29620,756.1105297580118
29700,724.7159090909091
29740,761.8346727898967
29820,727.4565254673298
29940,749.0445945945946
30020,755.5708502024291
30140,750.2361546499477
30300,786.1969026548672
30340,763.4219653179191
30460,749.9683867968387
30620,734.8784810126582
30700,760.2421093148575
30780,762.1732503888024
30860,752.986976744186
30980,734.9615384615385
31020,751.2481827622015
31080,752.4724815506357
31140,751.9355837720657
31180,758.250904159132
31340,760.1401952085182
31420,747.99203187251
31460,741.150136487716
31540,766.8060300207039
31700,753.487861947938
31740,759.3364705882353
31860,773.8346228239845
31900,718.8035714285714
32420,753.0
32580,722.6754250386399
32780,753.3417431192661
32820,756.3190355329949
32900,736.4148832684825
33100,737.1225894378194
33140,728.7402985074627
33220,766.9805653710247
33260,740.433549432739
33340,761.8660790689714
33460,759.6448406492198
33540,768.4474747474748
33660,763.0920716112532
33700,732.2556561085972
33740,758.8797953964195
33780,739.4033041788144
33860,764.1170068027211
34060,741.6754716981133
34100,748.3083197389885
34580,744.9357231149568
34620,737.1446808510639
34740,737.048128342246
34820,739.7626418988648
34900,751.5564853556485
34940,759.5159744408945
34980,757.5228974234321
35100,767.8831168831168
35300,754.2564700396363
35380,758.4192882929345
35620,755.3434839100324
35660,755.8226600985222
35840,742.6395052746453
35980,747.7649219467402
36100,761.4884792626729
36140,759.2798913043479
36220,704.697628458498
36260,760.8188313345241
36420,746.485089974293
36500,751.5768656716418
36540,754.6973475125291
36740,740.7660452322739
36780,752.0979797979797
36980,754.1218390804597
37100,758.1074168797954
37340,729.2748861418347
37460,748.8346883468835
37620,736.2794117647059
37860,753.207299270073
37900,738.1533715293081
37980,758.5640263191193
38060,737.3054815158188
38220,700.2753623188406
38300,762.3288345641287
38340,772.8148148148148
38540,756.1307243963364
38660,729.4027777777778
38860,757.5427905427905
38900,761.2006768189509
38940,735.0549973558964
39100,740.9103594080339
39140,753.3152709359606
39150,754.1338289962825
39300,759.8772786134077
39340,761.2252454417952
39380,747.9124087591241
39460,768.2648945921173
39540,751.824144486692
39580,757.7310361923649
39660,768.8602761982129
39740,757.3414264036419
39820,762.2551083591331
39900,743.3727447216891
40060,761.9174361033052
40140,739.9986622404995
40220,766.2901591895803
40340,753.7111553784861
40380,761.7501639344263
40420,736.4631438721137
40580,770.1162790697674
40660,753.851598173516
40900,755.0525259990497
40980,761.646282973621
41060,764.2253628724217
41100,755.3235120801414
41140,731.4072727272727
41180,757.41540716314
41420,754.6710205888864
41500,759.1390593047034
41540,741.7862595419847
41620,759.4997897923148
41660,751.6109839816934
